composition_key,n_elements,sources,canonical_phase,has_conflict,borg_label,pei_label,peivaste_label,borg_raw_label,pei_raw_label,peivaste_raw_label,borg_processing,borg_doi,source_row_ids
Ag0.0500Rh0.9500,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:261;peivaste:724
Ag0.0500Zr0.9500,2,pei2020;peivaste,BCC,0,,BCC,BCC,,bcc,BCC,,,pei2020:0;peivaste:469
Ag0.0688Au0.3625Cu0.3362Pd0.0287Si0.2038,5,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3793
Ag0.0700Al0.0700Cu0.4300Zr0.4300,4,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3892
Ag0.0850Cu0.2650Gd0.1100Mg0.5400,4,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3969
Ag0.1000Cu0.1500Mg0.6500Y0.1000,4,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3916
Ag0.1667Al0.1667Co0.1667Cr0.1667Cu0.1667Ni0.1667,6,peivaste,BCC,0,,,BCC,,,BCC,,,peivaste:1871
Ag0.1667Au0.1667Cu0.1667Ni0.1667Pd0.1667Pt0.1667,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:5230
Ag0.2000Al0.2000Nb0.2000Ti0.2000Zn0.2000,5,borg2020,multi-phase,0,multi-phase,,,other,,,ANNEAL,10.1016/j.msea.2018.12.020,borg2020:120
Ag0.2000Au0.2000Cu0.2000Pd0.2000Pt0.2000,5,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:456
Ag0.2500Au0.7500,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:262;peivaste:725
Ag0.2500Mg0.7500,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:4016
Ag0.2500Pd0.7500,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:263;peivaste:726
Ag0.2500Pt0.7500,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:4030
Ag0.2500Ti0.7500,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3765
Ag0.2500Zn0.7500,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:4014
Ag0.3846Cd0.6154,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3880
Ag0.4000Ga0.6000,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3679
Ag0.5000As0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:625
Ag0.5000Au0.5000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:264;peivaste:727
Ag0.5000Be0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:626
Ag0.5000Co0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:627
Ag0.5000Cr0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:628
Ag0.5000Cu0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:629
Ag0.5000Fe0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:630
Ag0.5000Ge0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:631
Ag0.5000Mn0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:632
Ag0.5000Mo0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:633
Ag0.5000Ni0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:634
Ag0.5000Os0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:635
Ag0.5000Pb0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:636
Ag0.5000Pd0.5000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:265;peivaste:728
Ag0.5000Pt0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:637
Ag0.5000Re0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:638
Ag0.5000Rh0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:639
Ag0.5000Sb0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:640
Ag0.5000Si0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:641
Ag0.5000Sn0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:642
Ag0.5000W0.5000,2,pei2020,multi-phase,0,,multi-phase,,,multi-phase,,,,pei2020:643
Ag0.5000Zr0.5000,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3926
Ag0.6000Li0.4000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:267;peivaste:730
Ag0.6500Cd0.3500,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:266;peivaste:729
Ag0.6667Al0.3333,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3711
Ag0.7000Zn0.3000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:270;peivaste:733
Ag0.7500Au0.2500,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:268;peivaste:731
Ag0.7500Ga0.2500,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3989
Ag0.7500Pd0.2500,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:269;peivaste:732
Ag0.7500Sb0.2500,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:4023
Ag0.7500Sn0.2500,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3885
Ag0.8000Cd0.2000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:273;peivaste:736
Ag0.8000Li0.2000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:274;peivaste:737
Ag0.8000Mg0.2000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:275;peivaste:738
Ag0.8000Mn0.2000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:276;peivaste:739
Ag0.8000Pt0.2000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:277;peivaste:740
Ag0.8000Sn0.2000,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3702
Ag0.8333Sn0.1667,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3735
Ag0.8500In0.1500,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:271;peivaste:734
Ag0.8500Zn0.1500,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:272;peivaste:735
Ag0.8750Sb0.1250,2,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3862
Ag0.9000Al0.1000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:278;peivaste:741
Ag0.9000Mg0.1000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:279;peivaste:742
Ag0.9000Mn0.1000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:280;peivaste:743
Ag0.9000Pt0.1000,2,pei2020;peivaste,FCC,0,,FCC,FCC,,fcc,FCC,,,pei2020:281;peivaste:744
Al0.0033Co0.3322Ni0.3322V0.3322,4,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:4208
Al0.0040Co0.0600Cr0.0750Cu0.0200Mn0.0810Ni0.3220Sn0.0030Ti0.1200V0.1000Zr0.2150,10,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1862
Al0.0040Co0.1992Cr0.1992Fe0.1992Mn0.1992Ni0.1992,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:86
Al0.0041Co0.1992Cr0.1992Fe0.1992Mn0.1992Ni0.1992,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:1633
Al0.0060Co0.1988Cr0.1988Fe0.1988Mn0.1988Ni0.1988,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:87
Al0.0061Co0.1988Cr0.1988Fe0.1988Mn0.1988Ni0.1988,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:1634
Al0.0077Hf0.2481Nb0.2481Ti0.2481Zr0.2481,5,peivaste,BCC,0,,,BCC,,,BCC,,,peivaste:1396
Al0.0079Co0.1984Cr0.1984Fe0.1984Mn0.1984Ni0.1984,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:88
Al0.0083Co0.1983Cr0.1983Fe0.1983Mn0.1983Ni0.1983,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:1635
Al0.0099Co0.0990Cr0.2970Fe0.4950Ni0.0990,5,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:4275
Al0.0100B0.1500Co0.0600Fe0.6100Mo0.0700Y0.0200Zr0.0800,7,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2750
Al0.0100Co0.1800Cr0.2571Fe0.2029Mn0.1929Ni0.1571,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:4297
Al0.0100Cr0.0450Mn0.1360Ni0.3710Sn0.0030Ti0.1200V0.1000Zr0.2150,8,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1796
Al0.0104Co0.3264Cr0.3264Ni0.3264Ti0.0104,5,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1350
Al0.0105Co0.2461Cr0.2461Fe0.2461Ni0.2461Ti0.0052,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:1352
Al0.0130Hf0.2468Nb0.2468Ti0.2468Zr0.2468,5,peivaste,BCC,0,,,BCC,,,BCC,,,peivaste:1397
Al0.0154Co0.1231Cr0.1231Cu0.1231Fe0.1231Mn0.1231Ni0.1231Ti0.1231V0.1231,9,borg2020;peivaste,multi-phase,0,multi-phase,,multi-phase,FCC+BCC,,BCC+FCC,CAST,10.1016/j.msea.2006.11.049,borg2020:61;peivaste:4
Al0.0157Co0.1969Cr0.1969Fe0.1969Mn0.1969Ni0.1969,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:89
Al0.0160C0.0008Fe0.7004Mn0.2800Si0.0028,5,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1463
Al0.0160C0.0008Fe0.7303Mn0.2500Nb0.0005Si0.0024,6,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1464
Al0.0160Co0.1230Cr0.1230Cu0.1230Fe0.1230Mn0.1230Ni0.1230Ti0.1230V0.1230,9,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:5515
Al0.0171Co0.1966Cr0.1966Fe0.1966Mn0.1966Ni0.1966,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:1636
Al0.0172Cu0.3276Mn0.3276Ni0.3276,4,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:1620
Al0.0174Cu0.3275Mn0.3275Ni0.3275,4,borg2020,FCC,0,FCC,,,FCC,,,CAST,10.1016/j.jallcom.2015.07.285,borg2020:62
Al0.0177Co0.1965Cr0.1965Fe0.1965Mn0.1965Ni0.1965,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC+IM,,,peivaste:90
Al0.0185Cu0.0185Mg0.9259Mn0.0185Zn0.0185,5,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:5207
Al0.0185Hf0.2454Nb0.2454Ti0.2454Zr0.2454,5,peivaste,BCC,0,,,BCC,,,BCC,,,peivaste:1398
Al0.0190Co0.1895Cr0.1895Fe0.1895Ni0.3980Ta0.0144,6,peivaste,multi-phase,0,,,multi-phase,,,FCC+IM,,,peivaste:4163
Al0.0194Co0.1961Cr0.1961Fe0.1961Mn0.1961Ni0.1961,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:1637
Al0.0196Co0.0980Cr0.2941Fe0.4902Ni0.0980,5,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:4276
Al0.0196Co0.1961Cr0.1961Fe0.1961Mn0.1961Ni0.1961,6,borg2020;peivaste,,1,FCC,,multi-phase,FCC,,BCC+FCC+IM,CAST,10.1016/j.actamat.2013.09.037,borg2020:16;peivaste:91
Al0.0196Cr0.1961Fe0.3922Mn0.2451Ni0.1471,5,borg2020,multi-phase,0,multi-phase,,,FCC+BCC,,,CAST,10.1016/j.jallcom.2018.08.093,borg2020:151
Al0.0200Co0.1960Cr0.1960Fe0.1960Mn0.1960Ni0.1960,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:1428
Al0.0215Co0.1957Cr0.1957Fe0.1957Mn0.1957Ni0.1957,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC+IM,,,peivaste:92
Al0.0217Co0.1957Cr0.1957Fe0.1957Mn0.1957Ni0.1957,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:1638
Al0.0234Co0.1953Cr0.1953Fe0.1953Mn0.1953Ni0.1953,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC+IM,,,peivaste:93
Al0.0240Co0.2440Cr0.2440Fe0.2440Ni0.2440,5,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:1874
Al0.0241Co0.1952Cr0.1952Fe0.1952Mn0.1952Ni0.1952,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:1639
Al0.0244Co0.2439Cr0.2439Fe0.2439Ni0.2439,5,borg2020;peivaste,FCC,0,FCC,,FCC,FCC,,FCC,WROUGHT,10.1016/j.actamat.2018.12.012,borg2020:222;peivaste:123
Al0.0250Co0.2500Cr0.2250Fe0.2500Ni0.2500,5,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:10515
Al0.0250Cu0.6030Zr0.3720,3,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3870
Al0.0257Co0.3162Fe0.3162Ni0.3162Ti0.0257,5,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1539
Al0.0265Co0.1947Cr0.1947Fe0.1947Mn0.1947Ni0.1947,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:1640
Al0.0270Hf0.2432Nb0.2432Ti0.2432Zr0.2432,5,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1399
Al0.0272Co0.1946Cr0.1946Fe0.1946Mn0.1946Ni0.1946,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC+IM,,,peivaste:94
Al0.0290Co0.1942Cr0.1942Fe0.1942Mn0.1942Ni0.1942,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:1641
Al0.0291Co0.0971Cr0.2913Fe0.4854Ni0.0971,5,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:4116
Al0.0291Co0.1942Cr0.1942Fe0.1942Mn0.1942Ni0.1942,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC+IM,,,peivaste:95
Al0.0294Co0.3162Fe0.3162Ni0.3162Ti0.0221,5,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1540
Al0.0300Co0.3233Cr0.3233Ni0.3233,4,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:10718
Al0.0300Cr0.1500Fe0.3350Mn0.1000Ni0.3350Ti0.0500,6,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1538
Al0.0300Cu0.5000Zr0.4700,3,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3990
Al0.0300Mg0.9700,2,pei2020;peivaste,HCP,0,,HCP,HCP,,hcp,HCP,,,pei2020:479;peivaste:942
Al0.0300Nb0.0700Ni0.6200Zr0.2800,4,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3736
Al0.0300Sc0.9700,2,pei2020;peivaste,HCP,0,,HCP,HCP,,hcp,HCP,,,pei2020:480;peivaste:943
Al0.0303Co0.1212Cr0.1212Cu0.1212Fe0.1212Mn0.1212Ni0.1212Ti0.1212V0.1212,9,borg2020;peivaste,BCC,0,BCC,,BCC,BCC,,BCC,CAST,10.1016/j.msea.2006.11.049,borg2020:61;peivaste:5
Al0.0310Co0.1938Cr0.1938Fe0.1938Mn0.1938Ni0.1938,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+IM,,,peivaste:96
Al0.0315Co0.1937Cr0.1937Fe0.1937Mn0.1937Ni0.1937,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:1642
Al0.0322Co0.2419Cr0.1613Fe0.1613Ni0.2419Ti0.1613,6,borg2020,multi-phase,0,multi-phase,,,FCC+Sec.,,,ANNEAL,10.1016/j.actamat.2011.06.041,borg2020:1
Al0.0323Co0.2419Cr0.1613Fe0.1613Ni0.2419Si0.0403Ti0.1210,7,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:3092
Al0.0323Co0.2419Cr0.1613Fe0.1613Ni0.2419Ti0.1613,6,pei2020;peivaste,,1,,multi-phase,FCC,,multi-phase,FCC,,,pei2020:648;peivaste:151
Al0.0330Hf0.2418Nb0.2418Ti0.2418Zr0.2418,5,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1400
Al0.0339Ce0.2203Co0.0847La0.2203Pd0.2203Pr0.2203,6,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:2732
Al0.0347Co0.1931Cr0.1931Fe0.1931Mn0.1931Ni0.1931,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+IM,,,peivaste:97
Al0.0350Co0.2632Cr0.1755Fe0.1755Ni0.2632Ti0.0876,6,borg2020,FCC,0,FCC,,,FCC,,,ANNEAL,10.1016/j.actamat.2011.06.041,borg2020:1
Al0.0350Cu0.5400Zr0.4250,3,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3935
Al0.0350Cu0.5960Zr0.3690,3,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3769
Al0.0351Co0.2632Cr0.1754Fe0.1754Ni0.2632Ti0.0877,6,pei2020;peivaste,,1,,multi-phase,FCC,,multi-phase,FCC,,,pei2020:647;peivaste:150
Al0.0355Cu0.5959Zr0.3685,3,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3960
Al0.0357Cu0.3214Mn0.3214Ni0.3214,4,borg2020;peivaste,multi-phase,0,multi-phase,,multi-phase,FCC+Sec.,,FCC+IM,CAST,10.1016/j.jallcom.2015.07.285,borg2020:62;peivaste:1618
Al0.0364Co0.2727Cr0.1818Fe0.1818Ni0.2727Ti0.0545,6,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1404
Al0.0366Co0.1927Cr0.1927Fe0.1927Mn0.1927Ni0.1927,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+IM,,,peivaste:98
Al0.0367Co0.1927Cr0.1927Fe0.1927Mn0.1927Ni0.1927,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:1643
Al0.0370Co0.1852Cr0.1852Cu0.0370Fe0.1852Ni0.3704,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:1402
Al0.0385Co0.1923Cr0.1923Cu0.1538Fe0.1923Ni0.1923Si0.0385,7,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1866
Al0.0385Co0.1923Cr0.1923Fe0.1923Mn0.1923Ni0.1923,6,borg2020;peivaste,FCC,0,FCC,,FCC,FCC,,FCC,CAST,10.1016/j.actamat.2013.09.037,borg2020:16;peivaste:1850
Al0.0385Cr0.1923Cu0.1923Fe0.1923Ni0.3846,5,borg2020;peivaste,FCC,0,FCC,,FCC,FCC,,FCC,,10.1063/1.3587228,borg2020:33;peivaste:193
Al0.0392Co0.1864Cr0.1864Cu0.0392Fe0.1864Ni0.3626,6,borg2020,FCC,0,FCC,,,FCC,,,WROUGHT,10.1016/j.msea.2017.04.111,borg2020:194
Al0.0393Co0.2353Cr0.2353Fe0.2353Ni0.2353Ti0.0195,6,borg2020,FCC,0,FCC,,,FCC,,,ANNEAL,10.1016/j.actamat.2015.08.076,borg2020:196
Al0.0394Co0.1921Cr0.1921Fe0.1921Mn0.1921Ni0.1921,6,peivaste,BCC,0,,,BCC,,,BCC,,,peivaste:1644
Al0.0399Co0.1920Cr0.1920Fe0.1920Mn0.1920Ni0.1920,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:4485
Al0.0400Co0.1920Cr0.1920Fe0.1920Mn0.1920Ni0.1920,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:1429
Al0.0400Co0.2000Fe0.2000Mn0.2000Ni0.2000Ti0.1600,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC+IM,,,peivaste:4354
Al0.0400Co0.3200Cr0.3200Ni0.3200,4,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:4180
Al0.0400Cr0.1500Fe0.3350Mn0.1000Ni0.3350Ti0.0400,6,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1537
Al0.0400Cu0.4800Zr0.4800,3,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:3141
Al0.0400Nb0.0800Ni0.6100Zr0.2700,4,peivaste,multi-phase,0,,,multi-phase,,,AM,,,peivaste:3749
Al0.0410C0.0008Fe0.6825Mn0.2700Nb0.0005Si0.0052,6,peivaste,multi-phase,0,,,multi-phase,,,IM,,,peivaste:1465
Al0.0417Cr0.1042Cu0.3333Fe0.1042Mn0.2083Ni0.2083,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:4217
Al0.0421Co0.1916Cr0.1916Fe0.1916Mn0.1916Ni0.1916,6,peivaste,BCC,0,,,BCC,,,BCC,,,peivaste:1645
Al0.0426Co0.2128Cr0.2128Fe0.2128Ni0.2128Ti0.1064,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:10570
Al0.0440Co0.1840Cr0.3080Cu0.2450Ni0.2190,5,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:9860
Al0.0441Co0.1840Cr0.3077Cu0.2452Ni0.2190,5,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:7232
Al0.0448Co0.1910Cr0.1910Fe0.1910Mn0.1910Ni0.1910,6,peivaste,BCC,0,,,BCC,,,BCC,,,peivaste:1646
Al0.0449Co0.1328Cr0.3696Cu0.2933Ni0.1594,5,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:7258
Al0.0450Co0.1330Cr0.3700Cu0.2930Ni0.1590,5,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:9930
Al0.0450Co0.2100Cr0.2750Cu0.2200Ni0.2500,5,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:8755
Al0.0453Co0.2099Cr0.2750Cu0.2199Ni0.2499,5,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:7298
Al0.0455Co0.1818Cr0.1818Cu0.1364Fe0.1818Ni0.1818Ti0.0909,7,borg2020;pei2020;peivaste,,1,FCC,multi-phase,FCC,FCC,multi-phase,FCC,CAST,10.1016/j.jallcom.2008.11.059,borg2020:13;pei2020:645;peivaste:49
Al0.0455Cr0.1136Cu0.2727Fe0.1136Mn0.2273Ni0.2273,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+FCC,,,peivaste:4216
Al0.0460Co0.2630Cr0.2100Cu0.1710Ni0.3100,5,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:9592
Al0.0463Co0.2625Cr0.2096Cu0.1712Ni0.3105,5,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:7394
Al0.0476Co0.1905Cr0.1905Cu0.0952Fe0.1905Ni0.1905Ti0.0952,7,borg2020;peivaste,FCC,0,FCC,,FCC,FCC,,FCC,CAST,10.1016/j.jallcom.2008.11.059,borg2020:13;peivaste:1943
Al0.0476Co0.1905Cr0.1905Cu0.1905Fe0.1905Ni0.1905,6,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:2601
Al0.0476Co0.1905Cr0.1905Fe0.1905Mn0.1905Ni0.1905,6,peivaste,multi-phase,0,,,multi-phase,,,BCC+IM,,,peivaste:99
Al0.0476Co0.2381Cr0.2381Fe0.2381Ni0.2381,5,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:2942
Al0.0476Cr0.1905Cu0.1905Fe0.1905Ni0.3810,5,pei2020;peivaste,multi-phase,0,,multi-phase,multi-phase,,multi-phase,BCC+FCC,,,pei2020:646;peivaste:1087
Al0.0476Cr0.2381Cu0.2381Fe0.2381Ni0.2381,5,peivaste,FCC,0,,,FCC,,,FCC,,,peivaste:192
Al0.0476Cr0.3175Fe0.4762Ni0.1587,4,peivaste,BCC,0,,,BCC,,,BCC,,,peivaste:240
Al0.0476Hf0.0952Nb0.0952Ti0.3810V0.1905Zr0.1905,6,peivaste,BCC,0,,,BCC,,,BCC,,,peivaste:4270
